59
PAINT_SQUARE 8 55 4
PAINT_SQUARE 7 44 2
PAINT_SQUARE 7 29 2
PAINT_SQUARE 7 14 2
PAINT_SQUARE 10 59 1
PAINT_SQUARE 9 60 1
PAINT_SQUARE 8 65 1
PAINT_SQUARE 7 69 1
PAINT_SQUARE 7 46 1
PAINT_SQUARE 7 31 1
PAINT_SQUARE 7 22 1
PAINT_SQUARE 6 60 1
PAINT_SQUARE 6 36 1
PAINT_SQUARE 6 17 1
PAINT_SQUARE 5 75 1
PAINT_SQUARE 5 65 1
PAINT_SQUARE 5 37 1
PAINT_SQUARE 5 1 1
PAINT_SQUARE 3 2 1
PAINT_SQUARE 2 65 1
PAINT_LINE 1 4 1 15
PAINT_LINE 5 10 5 19
PAINT_LINE 4 52 4 61
PAINT_LINE 9 70 9 78
PAINT_LINE 4 61 11 61
PAINT_LINE 9 4 9 11
PAINT_LINE 2 2 8 2
PAINT_LINE 7 68 7 74
PAINT_LINE 4 38 4 44
PAINT_LINE 4 24 4 30
PAINT_LINE 6 74 6 79
PAINT_LINE 9 37 9 41
PAINT_LINE 9 22 9 26
PAINT_LINE 3 1 7 1
PAINT_LINE 0 8 0 12
PAINT_LINE 8 68 8 71
PAINT_LINE 5 37 8 37
PAINT_LINE 5 36 8 36
PAINT_LINE 8 21 8 24
PAINT_LINE 5 17 8 17
PAINT_LINE 8 2 8 5
PAINT_LINE 6 30 6 33
PAINT_LINE 6 16 6 19
PAINT_LINE 5 75 5 78
PAINT_LINE 5 69 5 72
PAINT_LINE 5 36 5 39
PAINT_LINE 5 29 5 32
PAINT_LINE 5 22 5 25
PAINT_LINE 2 2 2 5
PAINT_LINE 13 54 13 56
PAINT_LINE 6 50 8 50
PAINT_LINE 8 36 8 38
PAINT_LINE 7 31 7 33
PAINT_LINE 7 1 7 3
PAINT_LINE 4 71 4 73
PAINT_LINE 1 15 2 15
PAINT_LINE 1 14 2 14
PAINT_LINE 11 50 11 50
PAINT_LINE 8 77 8 77
