87
PAINT_SQUARE 20 32 11
PAINT_SQUARE 19 139 10
PAINT_SQUARE 15 122 6
PAINT_SQUARE 19 161 5
PAINT_SQUARE 19 110 5
PAINT_SQUARE 19 68 5
PAINT_SQUARE 18 82 5
PAINT_SQUARE 18 71 5
PAINT_SQUARE 20 100 4
PAINT_SQUARE 18 112 4
PAINT_SQUARE 9 162 4
PAINT_SQUARE 28 59 3
PAINT_SQUARE 28 52 3
PAINT_SQUARE 28 45 3
PAINT_SQUARE 27 60 3
PAINT_SQUARE 25 108 3
PAINT_LINE 11 5 11 58
PAINT_LINE 31 21 31 63
PAINT_LINE 10 17 10 58
PAINT_LINE 9 16 9 57
PAINT_LINE 12 21 12 58
PAINT_LINE 13 21 13 57
PAINT_LINE 24 63 24 87
PAINT_LINE 29 169 29 190
PAINT_LINE 23 96 23 116
PAINT_LINE 28 173 28 191
PAINT_LINE 27 173 27 191
PAINT_LINE 26 173 26 191
PAINT_LINE 25 173 25 191
PAINT_LINE 18 173 18 190
PAINT_LINE 17 173 17 190
PAINT_LINE 16 173 16 190
PAINT_LINE 15 173 15 190
PAINT_LINE 14 173 14 190
PAINT_LINE 26 4 26 20
PAINT_LINE 25 4 25 20
PAINT_LINE 13 174 13 190
PAINT_LINE 14 112 28 112
PAINT_LINE 19 51 19 62
PAINT_LINE 18 51 18 62
PAINT_LINE 7 183 7 194
PAINT_LINE 24 10 24 20
PAINT_LINE 23 10 23 20
PAINT_LINE 20 52 20 62
PAINT_LINE 17 52 17 62
PAINT_LINE 22 11 22 20
PAINT_LINE 15 96 15 104
PAINT_LINE 14 96 14 104
PAINT_LINE 5 157 13 157
PAINT_LINE 5 156 13 156
PAINT_LINE 8 75 8 83
PAINT_LINE 29 172 36 172
PAINT_LINE 29 171 36 171
PAINT_LINE 29 170 36 170
PAINT_LINE 29 169 36 169
PAINT_LINE 12 9 12 16
PAINT_LINE 6 187 6 194
PAINT_LINE 5 187 5 194
PAINT_LINE 7 76 7 82
PAINT_LINE 29 123 29 128
PAINT_LINE 28 123 28 128
PAINT_LINE 27 123 27 128
PAINT_LINE 22 20 27 20
PAINT_LINE 26 123 26 128
PAINT_LINE 25 123 25 128
PAINT_LINE 34 169 34 173
PAINT_LINE 33 169 33 173
PAINT_LINE 12 91 12 95
PAINT_LINE 29 116 32 116
PAINT_LINE 29 115 32 115
PAINT_LINE 29 114 32 114
PAINT_LINE 29 113 32 113
PAINT_LINE 14 5 14 8
PAINT_LINE 13 5 13 8
PAINT_LINE 10 5 10 8
PAINT_LINE 9 5 9 8
PAINT_LINE 8 183 8 186
PAINT_LINE 5 16 8 16
PAINT_LINE 5 15 8 15
PAINT_LINE 5 14 8 14
PAINT_LINE 5 13 8 13
PAINT_LINE 11 94 13 94
PAINT_LINE 11 93 13 93
PAINT_LINE 11 12 13 12
PAINT_LINE 11 11 13 11
PAINT_LINE 13 64 13 65
PAINT_LINE 11 92 11 92
